Date,Open,High,Low,Close,Adj Close,Volume
2022-06-27,171.320007,171.750000,168.009995,169.490005,169.490005,29174600
2022-06-28,169.899994,171.300003,160.610001,160.679993,160.679993,27744500
2022-06-29,163.570007,166.330002,160.320007,163.940002,163.940002,28595200
2022-06-30,162.149994,165.229996,158.490005,161.250000,161.250000,35250600
2022-07-01,160.309998,160.619995,155.000000,160.029999,160.029999,31423900
2022-07-05,158.139999,168.250000,157.020004,168.190002,168.190002,28618600
2022-07-06,168.199997,171.589996,165.460007,169.770004,169.770004,23085900
2022-07-07,169.449997,172.720001,167.779999,172.190002,172.190002,24083400
2022-07-08,169.979996,172.399994,168.149994,170.880005,170.880005,19249200
2022-07-11,167.070007,167.490005,161.910004,162.880005,162.880005,21885600
2022-07-12,164.800003,165.910004,162.100006,163.270004,163.270004,16639700
2022-07-13,160.160004,164.979996,159.610001,163.490005,163.490005,16555100
2022-07-14,161.220001,162.589996,157.279999,158.050003,158.050003,23765200
2022-07-15,160.539993,164.979996,159.820007,164.699997,164.699997,23342800
2022-07-18,166.750000,171.690002,165.639999,167.229996,167.229996,23574300
2022-07-19,170.369995,176.490005,169.509995,175.779999,175.779999,25933700
2022-07-20,177.490005,183.600006,176.699997,183.089996,183.089996,24784300
2022-07-21,180.630005,183.850006,178.869995,183.169998,183.169998,27195800
2022-07-22,173.070007,175.600006,168.410004,169.270004,169.270004,42583900
2022-07-25,169.000000,170.570007,164.809998,166.649994,166.649994,26166300
2022-07-26,165.940002,166.000000,157.949997,159.149994,159.149994,28468400
2022-07-27,162.589996,170.869995,162.020004,169.580002,169.580002,43846600
2022-07-28,161.059998,161.509995,154.850006,160.720001,160.720001,73214300
2022-07-29,157.690002,160.139999,155.169998,159.100006,159.100006,42065400
2022-08-01,157.250000,165.190002,155.229996,159.929993,159.929993,40596700
2022-08-02,158.309998,162.240005,158.009995,160.190002,160.190002,27374500
2022-08-03,162.690002,169.539993,161.570007,168.800003,168.800003,31721900
2022-08-04,168.300003,172.149994,166.800003,170.570007,170.570007,23938200
2022-08-05,166.990005,171.610001,165.800003,167.110001,167.110001,25832700
2022-08-08,168.000000,177.509995,167.130005,170.250000,170.250000,27299100
2022-08-09,168.949997,169.529999,166.600006,168.529999,168.529999,18655100
2022-08-10,175.990005,180.479996,173.949997,178.339996,178.339996,30262100
2022-08-11,179.710007,183.100006,176.369995,177.490005,177.490005,24079100
2022-08-12,180.809998,181.460007,178.910004,180.500000,180.500000,21274000
2022-08-15,178.960007,181.440002,178.199997,180.889999,180.889999,15878700
2022-08-16,179.440002,180.990005,177.039993,179.470001,179.470001,21156700
2022-08-17,176.759995,178.139999,174.169998,174.850006,174.850006,20118100
2022-08-18,174.339996,175.759995,171.860001,174.660004,174.660004,18844500
2022-08-19,170.199997,172.320007,167.050003,167.960007,167.960007,26240800
2022-08-22,165.490005,165.490005,162.259995,163.050003,163.050003,19499700
2022-08-23,162.479996,165.050003,160.699997,161.110001,161.110001,18111800
2022-08-24,160.600006,165.460007,159.770004,163.259995,163.259995,20891500
2022-08-25,165.179993,168.880005,164.020004,168.779999,168.779999,15550500
2022-08-26,168.479996,170.919998,161.669998,161.779999,161.779999,24023600
2022-08-29,160.660004,163.050003,159.009995,159.169998,159.169998,20052700
2022-08-30,160.350006,161.660004,155.910004,157.160004,157.160004,19567900
2022-08-31,167.070007,167.839996,162.139999,162.929993,162.929993,40953000
2022-09-01,163.580002,167.360001,160.350006,165.360001,165.360001,30145700
2022-09-02,167.449997,167.929993,159.220001,160.320007,160.320007,22609100
2022-09-06,160.100006,161.690002,157.690002,158.539993,158.539993,19339800
2022-09-07,157.759995,160.960007,156.809998,160.389999,160.389999,16831200
2022-09-08,158.710007,162.229996,157.740005,162.059998,162.059998,22530800
2022-09-09,163.250000,169.539993,163.020004,169.149994,169.149994,22086800
2022-09-12,167.389999,171.389999,167.279999,168.960007,168.960007,23220400
2022-09-13,161.539993,161.630005,152.669998,153.130005,153.130005,44444100
2022-09-14,153.330002,153.539993,149.050003,151.470001,151.470001,43064200
2022-09-15,149.800003,154.199997,148.699997,149.550003,149.550003,34606300
2022-09-16,148.050003,148.580002,144.289993,146.289993,146.289993,40018700
2022-09-19,145.240005,148.580002,145.100006,148.020004,148.020004,22169500
2022-09-20,145.779999,148.839996,145.220001,146.089996,146.089996,23217400
2022-09-21,146.389999,149.600006,142.000000,142.119995,142.119995,38338600
2022-09-22,141.550003,144.580002,140.869995,142.820007,142.820007,34418500
2022-09-23,141.419998,142.619995,138.889999,140.410004,140.410004,31663300
